Fecha,Precipitacion,Latitud,Longitud,DPTO,LOC
2014-01-01,24.762393951416016,-37.8930802,-63.85345186,HUCAL,Abramo
2014-02-01,73.28199768066406,-37.8930802,-63.85345186,HUCAL,Abramo
2014-03-01,83.62370300292969,-37.8930802,-63.85345186,HUCAL,Abramo
2014-04-01,96.14295959472656,-37.8930802,-63.85345186,HUCAL,Abramo
2014-05-01,54.22934341430664,-37.8930802,-63.85345186,HUCAL,Abramo
2014-06-01,14.668244361877441,-37.8930802,-63.85345186,HUCAL,Abramo
2014-07-01,40.058597564697266,-37.8930802,-63.85345186,HUCAL,Abramo
2014-08-01,20.717374801635742,-37.8930802,-63.85345186,HUCAL,Abramo
2014-09-01,41.953575134277344,-37.8930802,-63.85345186,HUCAL,Abramo
2014-10-01,118.63780975341797,-37.8930802,-63.85345186,HUCAL,Abramo
2014-11-01,55.93701934814453,-37.8930802,-63.85345186,HUCAL,Abramo
2014-12-01,26.333209991455078,-37.8930802,-63.85345186,HUCAL,Abramo
2015-01-01,54.836769104003906,-37.8930802,-63.85345186,HUCAL,Abramo
2015-02-01,93.176025390625,-37.8930802,-63.85345186,HUCAL,Abramo
2015-03-01,75.1430892944336,-37.8930802,-63.85345186,HUCAL,Abramo
2015-04-01,77.41190338134766,-37.8930802,-63.85345186,HUCAL,Abramo
2015-05-01,35.57563781738281,-37.8930802,-63.85345186,HUCAL,Abramo
2015-06-01,9.266590118408203,-37.8930802,-63.85345186,HUCAL,Abramo
2015-07-01,18.273958206176758,-37.8930802,-63.85345186,HUCAL,Abramo
2015-08-01,33.031288146972656,-37.8930802,-63.85345186,HUCAL,Abramo
2015-09-01,37.41265106201172,-37.8930802,-63.85345186,HUCAL,Abramo
2015-10-01,95.84117889404297,-37.8930802,-63.85345186,HUCAL,Abramo
2015-11-01,49.285743713378906,-37.8930802,-63.85345186,HUCAL,Abramo
2015-12-01,102.44119262695312,-37.8930802,-63.85345186,HUCAL,Abramo
2016-01-01,125.14175415039062,-37.8930802,-63.85345186,HUCAL,Abramo
2016-02-01,118.49528503417969,-37.8930802,-63.85345186,HUCAL,Abramo
2016-03-01,28.739151000976562,-37.8930802,-63.85345186,HUCAL,Abramo
2016-04-01,70.81267547607422,-37.8930802,-63.85345186,HUCAL,Abramo
2016-05-01,45.68600845336914,-37.8930802,-63.85345186,HUCAL,Abramo
2016-06-01,18.80143928527832,-37.8930802,-63.85345186,HUCAL,Abramo
2016-07-01,27.095706939697266,-37.8930802,-63.85345186,HUCAL,Abramo
2016-08-01,9.782054901123047,-37.8930802,-63.85345186,HUCAL,Abramo
