Fecha,modis_date,NDVI,NDVI_crudo,tile,producto,banda,lat,long,DPTO,LOC
2015-09-30,A2015273,0.309,3090,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2015-10-16,A2015289,0.4173,4173,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2015-11-01,A2015305,0.38520000000000004,3852,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2015-11-17,A2015321,0.39780000000000004,3978,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2015-12-03,A2015337,0.38570000000000004,3857,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2015-12-19,A2015353,0.4405,4405,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2016-01-01,A2016001,0.4218,4218,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2016-01-17,A2016017,0.514,5140,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2016-02-02,A2016033,0.5011,5011,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2016-02-18,A2016049,0.4611,4611,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2016-03-05,A2016065,0.48700000000000004,4870,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2016-03-21,A2016081,0.44220000000000004,4422,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2016-04-06,A2016097,0.4257,4257,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2016-04-22,A2016113,0.49300000000000005,4930,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
2016-05-08,A2016129,0.3456,3456,h13v12,MOD13Q1,250m_16_days_NDVI,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz
